date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:54	1263/1263	---M--	200	added ('OK')	application/javascript	etag:%224ef-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/init.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/init.js	(from https://tieppoautomoveis.com.br/)
21:50:55	50816/50816	---M--	200	added ('OK')	application/javascript	etag:%22c680-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/bootstrap-slider.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/bootstrap-slider.js	(from https://tieppoautomoveis.com.br/)
21:50:55	15534/15534	---M--	200	added ('OK')	application/javascript	etag:%223cae-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/search.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/search.js	(from https://tieppoautomoveis.com.br/)
21:50:56	2903/2903	---M--	200	added ('OK')	application/javascript	etag:%22b57-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/pagination.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/pagination.js	(from https://tieppoautomoveis.com.br/)
21:50:56	3511/3511	---M--	200	added ('OK')	application/javascript	etag:%22db7-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/dealers.form.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/dealers.form.js	(from https://tieppoautomoveis.com.br/)
21:50:57	2526/2526	---M--	200	added ('OK')	application/javascript	etag:%229de-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/jquery.inputmask.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/jquery.inputmask.js	(from https://tieppoautomoveis.com.br/)
21:50:58	24330/24330	---M--	200	added ('OK')	application/javascript	etag:%225f0a-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/inputmask.numeric.extensions.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/inputmask.numeric.extensions.js	(from https://tieppoautomoveis.com.br/)
21:50:58	4371/4371	---M--	200	added ('OK')	application/javascript	etag:%221113-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/inputmask.extensions.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/inputmask.extensions.js	(from https://tieppoautomoveis.com.br/)
21:50:59	11930/11930	---M--	200	added ('OK')	application/javascript	etag:%222e9a-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/jquery.colorbox-min.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/jquery.colorbox-min.js	(from https://tieppoautomoveis.com.br/)
21:50:59	94803/94803	---M--	200	added ('OK')	application/javascript	etag:%2217253-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/inputmask.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/inputmask.js	(from https://tieppoautomoveis.com.br/)
